LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
56m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.515s (1.515s including waiting). Image size: 30809528 bytes.
55m         Warning   BackOff     pod/iperf3-client-quick                      Back-off restarting failed container iperf3 in pod iperf3-client-quick_default(dccefd02-d88b-4f20-80c1-8d49c23b940c)
56m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.594s (1.594s including waiting). Image size: 30809528 bytes.
56m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.494s (1.494s including waiting). Image size: 30809528 bytes.
50m         Normal    Scheduled   pod/iperf3-client-raspberrypi                Successfully assigned default/iperf3-client-raspberrypi to rtosubuntu-500tca-500sca
47m         Normal    Pulling     pod/iperf3-client-raspberrypi                Pulling image "networkstatic/iperf3:latest"
50m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.593s (1.593s including waiting). Image size: 31128721 bytes.
47m         Normal    Created     pod/iperf3-client-raspberrypi                Created container: iperf3
47m         Normal    Started     pod/iperf3-client-raspberrypi                Started container iperf3
50m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.541s (1.541s including waiting). Image size: 31128721 bytes.
47m         Warning   BackOff     pod/iperf3-client-raspberrypi                Back-off restarting failed container iperf3 in pod iperf3-client-raspberrypi_default(f245db80-2c21-4187-b09d-7f3f91c93bf3)
50m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.627s (1.627s including waiting). Image size: 31128721 bytes.
49m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.618s (1.618s including waiting). Image size: 31128721 bytes.
49m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.52s (1.52s including waiting). Image size: 31128721 bytes.
47m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.564s (1.564s including waiting). Image size: 31128721 bytes.
42m         Normal    Scheduled   pod/iperf3-client-raspberrypi                Successfully assigned default/iperf3-client-raspberrypi to rtosubuntu-500tca-500sca
42m         Normal    Pulling     pod/iperf3-client-raspberrypi                Pulling image "networkstatic/iperf3:latest"
42m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.718s (1.718s including waiting). Image size: 31128721 bytes.
42m         Normal    Created     pod/iperf3-client-raspberrypi                Created container: iperf3
42m         Normal    Started     pod/iperf3-client-raspberrypi                Started container iperf3
42m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.516s (1.516s including waiting). Image size: 31128721 bytes.
42m         Warning   BackOff     pod/iperf3-client-raspberrypi                Back-off restarting failed container iperf3 in pod iperf3-client-raspberrypi_default(b5a5bdd0-e975-487f-ac4a-09c3250fe843)
42m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.891s (1.891s including waiting). Image size: 31128721 bytes.
40m         Normal    Scheduled   pod/iperf3-client-raspberrypi                Successfully assigned default/iperf3-client-raspberrypi to rtosubuntu-500tca-500sca
37m         Normal    Pulling     pod/iperf3-client-raspberrypi                Pulling image "networkstatic/iperf3:latest"
40m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.572s (1.572s including waiting). Image size: 31128721 bytes.
37m         Normal    Created     pod/iperf3-client-raspberrypi                Created container: iperf3
37m         Normal    Started     pod/iperf3-client-raspberrypi                Started container iperf3
40m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.531s (1.531s including waiting). Image size: 31128721 bytes.
